id,from,to,voltage,reactance,resistance,circuits,pmax
463,351,348,380,22.29066176,2.571999433,1,1700
464,389,379,380,22.41545281,2.586398401,2,1700
465,155,156,380,6.581121934,0.759360223,1,1700
466,36,146,380,0.122218557,0.014102141,1,1700
467,283,282,380,1.752136913,0.202169644,2,1700
468,153,176,380,4.335585628,0.50025988,1,1700
469,298,301,380,21.00035498,2.423117882,1,1700
470,148,151,380,2.430111493,0.28039748,2,1700
471,398,404,380,14.48063552,1.67084256,1,1700
472,333,228,380,18.95730767,2.187381655,1,1700
473,50,297,380,39.84873101,4.597930502,1,1700
474,220,219,220,14.8706211,2.741770766,2,490
475,276,279,380,8.855637578,1.021804336,2,1700
476,415,428,380,8.143061275,0.939583993,2,1700
477,215,212,380,8.360507642,0.964673959,1,1700
478,432,413,380,14.89855207,1.7190637,2,1700
479,153,16,380,2.749778616,0.317282148,1,1700
480,143,338,380,1.347401022,0.155469349,2,1700
481,261,269,380,17.68956261,2.041103379,2,1700
482,389,411,380,6.718553582,0.775217721,2,1700
483,151,18,380,1.323428646,0.152703305,1,1700
484,298,295,220,16.55230831,3.051831846,1,490
485,278,297,380,6.365137561,0.734438949,1,1700
486,74,246,380,11.86316403,1.368826619,1,1700
487,357,358,380,11.35530437,1.310227428,2,1700
488,297,293,380,10.6861576,1.233018184,1,1700
489,153,145,380,9.049868097,1.04421555,1,1700
490,352,354,380,11.95586331,1.379522689,2,2300
491,348,51,380,14.85010486,1.713473638,2,1700
492,354,350,380,24.51490355,2.828642718,2,1700
493,68,188,220,1.791634448,0.330332601,2,490
494,300,49,220,13.82098635,2.548244358,1,490
495,232,230,220,1.713860946,0.315993112,1,490
496,152,145,220,8.237761176,1.518837217,2,490
497,270,271,220,4.895351802,0.902580489,2,490
499,323,321,220,20.15720695,3.716485032,1,490
500,408,409,220,0.516575804,0.095243664,2,490
501,100,160,220,5.370058074,0.990104457,1,490
502,67,240,220,0.437068786,0.080584557,2,490
503,192,193,220,2.995962836,0.552380648,2,490
504,147,149,220,13.27300666,2.447210603,2,490
505,78,264,220,4.424858784,0.815833338,1,490
506,77,252,220,3.79063966,0.698899187,2,490
507,149,87,220,3.570809159,0.658367939,1,490
508,14,98,220,0.95332335,0.175768993,1,490
